,res,ind,com,rest
2923200,3114,1092,312,88
2926800,3455,1092,0,59
2930400,3485,1092,0,29
2934000,3504,1092,0,10
2937600,3514,1092,0,0
2941200,3514,1092,0,0
2944800,3514,1092,0,0
2948400,3485,1092,0,29
2952000,3475,1092,0,39
2955600,3163,1092,312,39
2959200,2875,1092,585,54
2962800,2409,1092,1046,59
2966400,1974,1092,1486,54
2970000,1605,1092,1860,49
2973600,1539,1092,1916,59
2977200,1353,1092,2053,108
2980800,1354,1092,2057,103
2984400,1358,1092,2068,88
2988000,1407,1092,2024,83
2991600,1493,1092,1942,79
2995200,1644,1092,1787,83
2998800,1966,1092,1460,88
3002400,2388,1092,1018,108
3006000,2795,1092,611,108
3009600,3114,1092,312,88
3013200,3455,1092,0,59
3016800,3485,1092,0,29
3020400,3504,1092,0,10
3024000,3514,1092,0,0
3027600,3514,1092,0,0
3031200,3514,1092,0,0
3034800,3485,1092,0,29
3038400,3475,1092,0,39
3042000,3163,1092,312,39
3045600,2875,1092,585,54
3049200,2409,1092,1046,59
3052800,1974,1092,1486,54
3056400,1605,1092,1860,49
3060000,1539,1092,1916,59
3063600,1353,1092,2053,108
3067200,1354,1092,2057,103
3070800,1358,1092,2068,88
3074400,1407,1092,2024,83
3078000,1493,1092,1942,79
3081600,1644,1092,1787,83
3085200,1966,1092,1460,88
3088800,2388,1092,1018,108
3092400,2795,1092,611,108
3096000,3114,1092,312,88
3099600,3455,1092,0,59
3103200,3485,1092,0,29
3106800,3504,1092,0,10
3110400,3514,1092,0,0
3114000,3514,1092,0,0
3117600,3514,1092,0,0
3121200,3485,1092,0,29
3124800,3475,1092,0,39
3128400,3163,1092,312,39
3132000,2875,1092,585,54
3135600,2409,1092,1046,59
3139200,1974,1092,1486,54
3142800,1605,1092,1860,49
3146400,1539,1092,1916,59
3150000,1353,1092,2053,108
3153600,1354,1092,2057,103
3157200,1358,1092,2068,88
3160800,1407,1092,2024,83
3164400,1493,1092,1942,79
3168000,1644,1092,1787,83
3171600,1966,1092,1460,88
3175200,2388,1092,1018,108
3178800,2795,1092,611,108
3182400,3114,1092,312,88
3186000,3455,1092,0,59
3189600,3485,1092,0,29
3193200,3504,1092,0,10
3196800,3514,1092,0,0
3200400,3514,1092,0,0
3204000,3514,1092,0,0
3207600,3485,1092,0,29
3211200,3475,1092,0,39
3214800,3163,1092,312,39
3218400,2875,1092,585,54
3222000,2409,1092,1046,59
3225600,1974,1092,1486,54
3229200,1605,1092,1860,49
3232800,1539,1092,1916,59
3236400,1353,1092,2053,108
3240000,1354,1092,2057,103
3243600,1358,1092,2068,88
3247200,1407,1092,2024,83
3250800,1493,1092,1942,79
3254400,1644,1092,1787,83
3258000,1966,1092,1460,88
3261600,2388,1092,1018,108
3265200,2795,1092,611,108
3268800,3114,1092,312,88
3272400,3455,1092,0,59
3276000,3485,1092,0,29
3279600,3504,1092,0,10
3283200,3514,1092,0,0
3286800,3514,1092,0,0
3290400,3514,1092,0,0
3294000,3485,1092,0,29
3297600,3475,1092,0,39
3301200,3163,1092,312,39
3304800,2875,1092,585,54
3308400,2409,1092,1046,59
3312000,1974,1092,1486,54
3315600,1605,1092,1860,49
3319200,1539,1092,1916,59
3322800,1353,1092,2053,108
3326400,1354,1092,2057,103
3330000,1358,1092,2068,88
3333600,1407,1092,2024,83
3337200,1493,1092,1942,79
3340800,1644,1092,1787,83
3344400,1966,1092,1460,88
3348000,2388,1092,1018,108
3351600,2795,1092,611,108
3355200,3114,1092,312,88
3358800,3455,1092,0,59
3362400,3485,1092,0,29
3366000,3504,1092,0,10
3369600,3514,1092,0,0
3373200,3514,1092,0,0
3376800,3514,1092,0,0
3380400,3485,1092,0,29
3384000,3475,1092,0,39
3387600,3163,1092,312,39
3391200,2875,1092,585,54
3394800,2409,1092,1046,59
3398400,1974,1092,1486,54
3402000,1605,1092,1860,49
3405600,1539,1092,1916,59
3409200,1353,1092,2053,108
3412800,1354,1092,2057,103
3416400,1358,1092,2068,88
3420000,1407,1092,2024,83
3423600,1493,1092,1942,79
3427200,1644,1092,1787,83
3430800,1966,1092,1460,88
3434400,2388,1092,1018,108
3438000,2795,1092,611,108
3441600,3114,1092,312,88
3445200,3455,1092,0,59
3448800,3485,1092,0,29
